sku,item_name,category,subcategory,description,unit,cost_price,sell_price,stock_qty,reorder_point,supplier,supplier_sku,notes
CL-LP-1.5-6.5,Line Post 1.5in x 6ft6in,Chain Link,Posts,Galvanized steel schedule 40 line post,Each,,,0,10,,,
CL-LP-1.875-6.5,Line Post 1-7/8in x 6ft6in,Chain Link,Posts,Galvanized steel terminal post,Each,,,0,5,,,
CL-LP-2-8,Line Post 2in x 8ft,Chain Link,Posts,Galvanized steel schedule 40 commercial post,Each,,,0,5,,,
CL-TR-1.25-21,Top Rail 1-1/4in x 21ft,Chain Link,Rails,Galvanized steel top rail,Each,,,0,10,,,
CL-FAB-2M-9GA-4-50,Fabric 2in 9GA 4ft x 50ft,Chain Link,Fabric,Galvanized chain link fabric 2in mesh 9 gauge,Roll,,,0,2,,,
CL-FAB-2M-9GA-5-50,Fabric 2in 9GA 5ft x 50ft,Chain Link,Fabric,Galvanized chain link fabric 2in mesh 9 gauge,Roll,,,0,2,,,
CL-FAB-2M-9GA-6-50,Fabric 2in 9GA 6ft x 50ft,Chain Link,Fabric,Galvanized chain link fabric 2in mesh 9 gauge,Roll,,,0,2,,,
CL-CAP-1.5,Post Cap 1.5in,Chain Link,Caps & Fittings,Galvanized steel slip-on post cap,Each,,,0,20,,,
CL-CAP-1.875,Post Cap 1-7/8in,Chain Link,Caps & Fittings,Galvanized steel slip-on post cap,Each,,,0,10,,,
CL-TW-9GA,Tension Wire 9GA,Chain Link,Wire,Galvanized tension wire bottom wire,LF,,,0,100,,,
CL-TIE-9GA,Tie Wire 9GA,Chain Link,Wire,Galvanized tie wire for fabric,Each,,,0,100,,,
CL-TB-9GA-1.5,Tension Band 9GA 1.5in,Chain Link,Bands,Tension band for 1.5in post,Each,,,0,20,,,
CL-TB-9GA-1.875,Tension Band 9GA 1-7/8in,Chain Link,Bands,Tension band for 1-7/8in post,Each,,,0,20,,,
CL-BRC-1.5,Brace Rail 1.5in,Chain Link,Rails,Galvanized brace rail,Each,,,0,5,,,
CL-GATE-SW-36,Gate Single Walk 36in,Chain Link,Gates,Single walk gate 36in wide,Each,,,0,2,,,
CL-GATE-SW-48,Gate Single Walk 48in,Chain Link,Gates,Single walk gate 48in wide,Each,,,0,2,,,
CL-GATE-DB-10,Gate Double Drive 10ft,Chain Link,Gates,Double drive gate 10ft wide,Each,,,0,1,,,
WD-POST-4x4-8,Post 4x4 x 8ft Pressure Treated,Wood,Posts,PT pine or spruce post,Each,,,0,10,,,
WD-POST-6x6-8,Post 6x6 x 8ft Pressure Treated,Wood,Posts,PT pine or spruce heavy post,Each,,,0,5,,,
WD-RAIL-2x4-8,Rail 2x4 x 8ft Pressure Treated,Wood,Rails,PT pine horizontal rail,Each,,,0,20,,,
WD-RAIL-2x4-16,Rail 2x4 x 16ft Pressure Treated,Wood,Rails,PT pine horizontal rail,Each,,,0,10,,,
WD-PICKET-1x4-6,Picket 1x4 x 6ft Dog-Ear,Wood,Pickets,Standard dog-ear cedar or PT pine picket,Each,,,0,50,,,
WD-PICKET-1x6-6,Picket 1x6 x 6ft Dog-Ear,Wood,Pickets,Wide dog-ear cedar or PT pine picket,Each,,,0,50,,,
WD-SCREW-3IN,Screw 3in Exterior Decking,Wood,Hardware,Exterior coated decking screw,Box (100),,,0,5,,,
VNL-POST-5x5-8,Vinyl Post 5x5 x 8ft,Vinyl,Posts,Homeland vinyl post with steel insert,Each,,,0,5,,,
VNL-RAIL-TOP-8,Vinyl Top Rail 8ft,Vinyl,Rails,Homeland vinyl top rail section,Each,,,0,10,,,
VNL-RAIL-BTM-8,Vinyl Bottom Rail 8ft,Vinyl,Rails,Homeland vinyl bottom rail section,Each,,,0,10,,,
VNL-PICKET-6,Vinyl Picket 6ft,Vinyl,Pickets,Homeland vinyl privacy picket,Each,,,0,50,,,
VNL-CAP-5x5,Vinyl Post Cap 5x5,Vinyl,Caps & Fittings,Homeland vinyl post cap,Each,,,0,10,,,
WI-POST-2.5-6,Wrought Iron Post 2.5in x 6ft,Wrought Iron,Posts,Cloutier Direct steel post,Each,,,0,5,,,
WI-PANEL-4x6,Wrought Iron Panel 4ft x 6ft,Wrought Iron,Panels,Cloutier Direct ornamental panel,Each,,,0,5,,,
WI-GATE-SW-36,Wrought Iron Walk Gate 36in,Wrought Iron,Gates,Cloutier Direct walk gate,Each,,,0,1,,,
CONC-BAG-30,Concrete Mix 30kg Bag,Concrete & Aggregate,Concrete,Ready-mix concrete bag,Bag,,,0,20,,,
STONE-DUST-BAG,Stone Dust / Screening Bag,Concrete & Aggregate,Aggregate,Stone dust for post base,Bag,,,0,10,,,
GRAVEL-3/4,Gravel 3/4in Crushed,Concrete & Aggregate,Aggregate,3/4in crushed gravel for drainage,Tonne,,,0,1,,,
